# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************

#Launch data for DELTA_IV_M Launched from Latitude: 28.531986 Longitude: -80.566821 Altitude: 1.0
#Generated on Mon Dec  3 13:48:44 2018
#Lau-Hdg -Loft- -Incl.- -Time-- ---Lat---- ----Lon---- --Alt-- -Speed-- -FSpeed- --Hdg-- -Angle- -DeltaV- -Fleft- -Tleft-
  70.000 82.800   33.53  804.56  33.576264  -42.112262  174.18  7803.53  7405.68   93.13    0.00  2053.53  7454.5  310.45 179.237 x 178.149 km, e=0.000
  70.000 83.000   33.53  805.36  33.573513  -42.101681  176.99  7801.88  7403.85   93.14    0.00  2049.26  7435.2  309.65 182.088 x 180.992 km, e=0.000
  70.000 83.200   33.53  806.19  33.570709  -42.091559  179.96  7800.07  7401.85   93.15    0.00  2044.83  7415.3  308.82 184.989 x 183.897 km, e=0.000
  70.000 83.400   33.52  807.06  33.562512  -42.080477  183.00  7798.29  7399.86   93.17    0.00  2040.18  7394.4  307.95 188.089 x 186.984 km, e=0.000
  70.000 83.600   33.51  807.96  33.551782  -42.069882  186.19  7796.38  7397.71   93.19    0.00  2035.36  7372.8  307.05 191.242 x 190.133 km, e=0.000
  70.000 83.800   33.51  808.92  33.540612  -42.058096  189.56  7794.40  7395.48   93.22    0.00  2030.22  7349.8  306.09 194.661 x 193.539 km, e=0.000
  70.000 84.000   33.50  809.93  33.529040  -42.046222  193.14  7792.26  7393.09   93.25    0.00  2024.81  7325.5  305.08 198.233 x 197.104 km, e=0.000
  70.000 84.200   33.49  811.00  33.517148  -42.033858  196.95  7789.98  7390.53   93.27    0.00  2019.07  7299.8  304.01 202.019 x 200.885 km, e=0.000
  70.000 84.400   33.48  812.14  33.504662  -42.020658  201.02  7787.56  7387.82   93.30    0.00  2012.94  7272.4  302.87 206.080 x 204.938 km, e=0.000
  70.000 84.600   33.47  813.36  33.491664  -42.006329  205.36  7785.01  7384.96   93.33    0.00  2006.37  7243.1  301.65 210.471 x 209.314 km, e=0.000
  70.000 84.800   33.46  814.66  33.478158  -41.991402  210.03  7782.26  7381.87   93.36    0.00  1999.36  7211.9  300.35 215.154 x 213.986 km, e=0.000
  70.000 85.000   33.45  816.05  33.464109  -41.975734  215.04  7779.29  7378.56   93.39    0.00  1991.86  7178.6  298.96 220.172 x 218.993 km, e=0.000
  70.000 85.200   33.43  817.54  33.449358  -41.959251  220.44  7776.10  7374.98   93.42    0.00  1983.80  7142.8  297.47 225.569 x 224.381 km, e=0.000
  70.000 85.400   33.42  819.14  33.433871  -41.942004  226.28  7772.63  7371.10   93.46    0.00  1975.13  7104.4  295.87 231.378 x 230.182 km, e=0.000
  70.000 85.600   33.41  820.87  33.417701  -41.923432  232.62  7768.89  7366.92   93.49    0.00  1965.74  7062.8  294.14 237.710 x 236.503 km, e=0.000
  70.000 85.800   33.40  822.75  33.400521  -41.903115  239.51  7764.87  7362.42   93.53    0.00  1955.52  7017.7  292.26 244.671 x 243.444 km, e=0.000
  70.000 86.000   33.38  824.78  33.382473  -41.882377  247.05  7760.42  7357.44   93.57    0.00  1944.45  6968.9  290.23 252.170 x 250.935 km, e=0.000
  70.000 86.200   33.37  827.00  33.363273  -41.859748  255.32  7755.58  7352.04   93.62    0.00  1932.31  6915.6  288.01 260.463 x 259.211 km, e=0.000
  70.000 86.400   33.35  829.43  33.342859  -41.835593  264.43  7750.26  7346.09   93.66    0.00  1918.99  6857.3  285.58 269.608 x 268.338 km, e=0.000
  70.000 86.600   33.34  832.10  33.321130  -41.809937  274.53  7744.37  7339.51   93.71    0.00  1904.31  6793.2  282.91 279.723 x 278.436 km, e=0.000
  70.000 86.800   33.32  835.05  33.297812  -41.782526  285.79  7737.82  7332.19   93.77    0.00  1888.03  6722.3  279.96 290.998 x 289.693 km, e=0.000
  70.000 87.000   33.30  838.32  33.272635  -41.753810  298.42  7730.45  7323.96   93.82    0.00  1869.92  6643.8  276.69 303.564 x 302.248 km, e=0.000
  70.000 87.200   33.28  841.99  33.245452  -41.722130  312.69  7722.22  7314.77   93.89    0.00  1849.51  6555.7  273.02 317.892 x 316.550 km, e=0.000
  70.000 87.400   33.26  846.11  33.215832  -41.689203  328.94  7712.80  7304.26   93.95    0.00  1826.49  6456.8  268.90 334.092 x 332.735 km, e=0.000
