# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_MRBM_2
#Generated on Thu Jan 14 13:35:14 2010
#loft_angle burn_time ground_range time_of_flight
88.5000 98.7800 432948.52 388.4256
88.5000 98.8000 433349.60 388.5578
88.5000 98.8200 433714.34 388.6901
88.5000 98.8400 434116.04 388.8224
88.5000 98.8600 434518.05 388.9548
88.5000 98.8800 434883.66 389.0872
88.5000 98.9000 435286.29 389.2197
88.5000 98.9200 435689.22 389.3522
88.5000 98.9400 436055.72 389.4849
88.5000 98.9600 436459.27 389.6176
88.5000 98.9800 436863.13 389.7503
88.5000 99.0000 437230.50 389.8831
88.5000 99.0200 437634.99 390.0160
88.5000 99.0400 438002.92 390.1490
88.5000 99.0600 438408.04 390.2820
88.5000 99.0800 438813.46 390.4150
88.5000 99.1000 439182.27 390.5482
88.5000 99.1200 439588.33 390.6814
88.5000 99.1400 439994.68 390.8146
88.5000 99.1600 440364.38 390.9480
88.5000 99.1800 440771.37 391.0814
88.5000 99.2000 441178.67 391.2148
88.5000 99.2200 441549.26 391.3483
88.5000 99.2400 441957.19 391.4819
88.5000 99.2600 442365.43 391.6156
88.5000 99.2800 442736.91 391.7493
88.5000 99.3000 443145.78 391.8831
88.5000 99.3200 443554.96 392.0169
88.5000 99.3400 443964.46 392.1508
88.5000 99.3600 444337.16 392.2848
88.5000 99.3800 444747.29 392.4188
88.5000 99.4000 445157.73 392.5529
88.5000 99.4200 445531.32 392.6871
88.5000 99.4400 445942.41 392.8213
88.5000 99.4600 446353.80 392.9556
88.5000 99.4800 446728.29 393.0900
88.5000 99.5000 447140.32 393.2244
88.5000 99.5200 447552.67 393.3589
88.5000 99.5400 447928.06 393.4935
88.5000 99.5600 448341.05 393.6281
88.5000 99.5800 448754.36 393.7628
88.5000 99.6000 449130.64 393.8976
88.5000 99.6200 449544.59 394.0324
88.5000 99.6400 449958.86 394.1673
88.5000 99.6600 450373.45 394.3022
88.5000 99.6800 450750.96 394.4373
88.5000 99.7000 451166.19 394.5724
88.5000 99.7200 451581.74 394.7075
88.5000 99.7400 451960.16 394.8427
88.5000 99.7600 452376.36 394.9780
88.5000 99.7800 452792.88 395.1134
88.5000 99.8000 453172.19 395.2488
88.5000 99.8200 453589.36 395.3843
88.5000 99.8400 454006.85 395.5199
88.5000 99.8600 454424.66 395.6555
88.5000 99.8800 454805.22 395.7912
88.5000 99.9000 455223.68 395.9269
88.5000 99.9200 455642.47 396.0628
88.5000 99.9400 456023.93 396.1986
88.5000 99.9600 456443.37 396.3346
88.5000 99.9800 456863.14 396.4706
88.5000 100.0000 457283.22 396.6067
88.5000 100.0200 457665.93 396.7429
88.5000 100.0400 458086.68 396.8791
88.5000 100.0600 458507.74 397.0154
88.5000 100.0800 458929.14 397.1518
88.5000 100.1000 459313.09 397.2882
88.5000 100.1200 459735.15 397.4247
88.5000 100.1400 460157.53 397.5613
88.5000 100.1600 460542.39 397.6979
88.5000 100.1800 460965.44 397.8346
88.5000 100.2000 461388.81 397.9714
88.5000 100.2200 461812.50 398.1082
88.5000 100.2400 462198.62 398.2451
88.5000 100.2600 462622.99 398.3821
88.5000 100.2800 463047.67 398.5192
88.5000 100.3000 463472.69 398.6563
88.5000 100.3200 463860.07 398.7935
88.5000 100.3400 464285.76 398.9307
88.5000 100.3600 464711.77 399.0681
88.5000 100.3800 465138.12 399.2054
88.5000 100.4000 465526.75 399.3429
88.5000 100.4200 465953.77 399.4804
88.5000 100.4400 466381.12 399.6180
88.5000 100.4600 466808.79 399.7557
88.5000 100.4800 467198.69 399.8934
88.5000 100.5000 467627.04 400.0312
88.5000 100.5200 468055.73 400.1691
88.5000 100.5400 468484.74 400.3071
88.5000 100.5600 468875.91 400.4451
88.5000 100.5800 469305.60 400.5832
88.5000 100.6000 469735.63 400.7213
88.5000 100.6200 470165.99 400.8596
88.5000 100.6400 470558.42 400.9978
88.5000 100.6600 470989.46 401.1362
88.5000 100.6800 471420.83 401.2747
88.5000 100.7000 471852.54 401.4132
88.5000 100.7200 472284.59 401.5517
88.5000 100.7400 472678.64 401.6904
88.5000 100.7600 473111.37 401.8291
88.5000 100.7800 473544.43 401.9679
88.5000 100.8000 473977.84 402.1068
88.5000 100.8200 474373.16 402.2457
88.5000 100.8400 474807.25 402.3847
88.5000 100.8600 475241.67 402.5238
88.5000 100.8800 475676.44 402.6629
88.5000 100.9000 476111.55 402.8021
88.5000 100.9200 476508.49 402.9414
88.5000 100.9400 476944.29 403.0808
88.5000 100.9600 477380.42 403.2202
88.5000 100.9800 477816.90 403.3597
88.5000 101.0000 478215.13 403.4993
88.5000 101.0200 478652.30 403.6389
88.5000 101.0400 479089.81 403.7786
88.5000 101.0600 479527.66 403.9184
88.5000 101.0800 479965.86 404.0583
88.5000 101.1000 480365.71 404.1982
88.5000 101.1200 480804.61 404.3382
88.5000 101.1400 481243.84 404.4783
88.5000 101.1600 481683.42 404.6185
88.5000 101.1800 482123.34 404.7587
88.5000 101.2000 482524.84 404.8990
88.5000 101.2200 482965.46 405.0393
88.5000 101.2400 483406.43 405.1798
88.5000 101.2600 483847.74 405.3203
88.5000 101.2800 484289.40 405.4609
88.5000 101.3000 484731.41 405.6015
88.5000 101.3200 485134.90 405.7423
88.5000 101.3400 485577.61 405.8831
88.5000 101.3600 486020.67 406.0240
88.5000 101.3800 486464.07 406.1649
88.5000 101.4000 486907.83 406.3059
88.5000 101.4200 487312.97 406.4470
88.5000 101.4400 487757.43 406.5882
88.5000 101.4600 488202.24 406.7295
88.5000 101.4800 488647.40 406.8708
88.5000 101.5000 489092.92 407.0122
88.5000 101.5200 489538.78 407.1536
88.5000 101.5400 489945.93 407.2952
88.5000 101.5600 490392.50 407.4368
88.5000 101.5800 490839.43 407.5785
88.5000 101.6000 491286.71 407.7203
88.5000 101.6200 491734.34 407.8621
88.5000 101.6400 492182.33 408.0040
88.5000 101.6600 492591.49 408.1460
88.5000 101.6800 493040.19 408.2881
88.5000 101.7000 493489.24 408.4302
88.5000 101.7200 493938.65 408.5724
88.5000 101.7400 494388.42 408.7147
88.5000 101.7600 494838.55 408.8571
88.5000 101.7800 495249.73 408.9995
88.5000 101.8000 495700.57 409.1420
88.5000 101.8200 496151.77 409.2846
88.5000 101.8400 496603.32 409.4273
88.5000 101.8600 497055.24 409.5700
88.5000 101.8800 497507.51 409.7128
88.5000 101.9000 497960.15 409.8557
88.5000 101.9200 498373.71 409.9987
88.5000 101.9400 498827.07 410.1417
88.5000 101.9600 499280.78 410.2848
88.5000 101.9800 499734.86 410.4280
88.5000 102.0000 500189.30 410.5713
88.5000 102.0200 500644.10 410.7147
88.5000 102.0400 501099.26 410.8581
88.5000 102.0600 501554.79 411.0016
