# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_SRBM_3
#Generated on Wed Feb 17 08:03:03 2010
#loft_angle burn_time ground_range time_of_flight impact_speed impact angle
57.4600 75.3400 554872.92 413.1031 1190.16 -48.1605
57.4600 75.3600 555258.88 413.2357 1193.50 -48.1456
57.4600 75.3800 555684.86 413.3684 1192.36 -48.1460
57.4600 75.4000 556111.10 413.5011 1191.22 -48.1464
57.4600 75.4200 556497.84 413.6340 1194.58 -48.1314
57.4600 75.4400 556924.65 413.7668 1193.46 -48.1317
57.4600 75.4600 557311.88 413.8997 1196.83 -48.1167
57.4600 75.4800 557739.26 414.0327 1195.72 -48.1170
57.4600 75.5000 558166.91 414.1658 1194.61 -48.1173
57.4600 75.5200 558554.93 414.2989 1198.00 -48.1023
57.4600 75.5400 558983.15 414.4320 1196.90 -48.1025
57.4600 75.5600 559411.64 414.5653 1195.80 -48.1028
57.4600 75.5800 559800.44 414.6985 1199.22 -48.0876
57.4600 75.6000 560229.50 414.8319 1198.13 -48.0878
57.4600 75.6200 560658.84 414.9653 1197.05 -48.0880
57.4600 75.6400 561048.42 415.0987 1200.49 -48.0729
57.4600 75.6600 561478.33 415.2323 1199.41 -48.0730
57.4600 75.6800 561908.51 415.3659 1198.35 -48.0731
57.4600 75.7000 562298.89 415.4995 1201.81 -48.0579
57.4600 75.7200 562729.64 415.6332 1200.75 -48.0580
57.4600 75.7400 563160.66 415.7670 1199.69 -48.0581
57.4600 75.7600 563591.96 415.9008 1198.64 -48.0581
57.4600 75.7800 563983.44 416.0347 1202.13 -48.0428
57.4600 75.8000 564415.31 416.1686 1201.09 -48.0429
57.4600 75.8200 564847.45 416.3026 1200.05 -48.0429
57.4600 75.8400 565239.73 416.4367 1203.56 -48.0275
57.4600 75.8600 565672.45 416.5709 1202.54 -48.0275
57.4600 75.8800 566105.45 416.7050 1201.52 -48.0274
57.4600 75.9000 566498.51 416.8393 1205.05 -48.0120
57.4600 75.9200 566932.09 416.9736 1204.04 -48.0119
57.4600 75.9400 567365.94 417.1080 1203.03 -48.0118
57.4600 75.9600 567759.80 417.2424 1206.58 -47.9964
57.4600 75.9800 568194.24 417.3769 1205.59 -47.9962
57.4600 76.0000 568628.95 417.5115 1204.59 -47.9961
57.4600 76.0200 569023.60 417.6461 1208.17 -47.9806
57.4600 76.0400 569458.89 417.7808 1207.19 -47.9804
57.4600 76.0600 569894.47 417.9155 1206.21 -47.9801
57.4600 76.0800 570330.32 418.0503 1205.24 -47.9799
57.4600 76.1000 570726.07 418.1852 1208.84 -47.9644
57.4600 76.1200 571162.51 418.3201 1207.88 -47.9641
57.4600 76.1400 571599.23 418.4551 1206.93 -47.9637
57.4600 76.1600 571995.78 418.5901 1210.55 -47.9482
57.4600 76.1800 572433.08 418.7252 1209.61 -47.9478
57.4600 76.2000 572870.67 418.8604 1208.66 -47.9474
57.4600 76.2200 573268.02 418.9956 1212.32 -47.9318
57.4600 76.2400 573706.19 419.1309 1211.38 -47.9314
57.4600 76.2600 574144.65 419.2663 1210.46 -47.9310
57.4600 76.2800 574583.38 419.4017 1209.54 -47.9305
57.4600 76.3000 574981.84 419.5372 1213.22 -47.9148
57.4600 76.3200 575421.17 419.6727 1212.30 -47.9143
57.4600 76.3400 575860.78 419.8083 1211.40 -47.9138
57.4600 76.3600 576260.03 419.9440 1215.10 -47.8981
57.4600 76.3800 576700.24 420.0798 1214.21 -47.8975
57.4600 76.4000 577140.72 420.2156 1213.31 -47.8970
57.4600 76.4200 577581.49 420.3514 1212.43 -47.8964
57.4600 76.4400 577981.86 420.4873 1216.16 -47.8806
57.4600 76.4600 578423.22 420.6233 1215.29 -47.8800
57.4600 76.4800 578864.87 420.7594 1214.42 -47.8793
57.4600 76.5000 579266.04 420.8955 1218.18 -47.8635
57.4600 76.5200 579708.29 421.0317 1217.32 -47.8628
57.4600 76.5400 580150.82 421.1679 1216.46 -47.8621
57.4600 76.5600 580593.64 421.3042 1215.61 -47.8613
57.4600 76.5800 580995.92 421.4406 1219.40 -47.8454
57.4600 76.6000 581439.33 421.5770 1218.56 -47.8447
57.4600 76.6200 581883.04 421.7135 1217.73 -47.8439
57.4600 76.6400 582327.03 421.8500 1216.90 -47.8431
57.4600 76.6600 582730.43 421.9867 1220.72 -47.8271
57.4600 76.6800 583175.02 422.1233 1219.90 -47.8262
57.4600 76.7000 583619.89 422.2601 1219.09 -47.8254
57.4600 76.7200 584024.10 422.3969 1222.93 -47.8094
57.4600 76.7400 584469.58 422.5338 1222.13 -47.8085
57.4600 76.7600 584915.35 422.6707 1221.34 -47.8075
57.4600 76.7800 585361.40 422.8077 1220.55 -47.8066
57.4600 76.8000 585766.72 422.9448 1224.42 -47.7905
57.4600 76.8200 586213.39 423.0819 1223.64 -47.7895
57.4600 76.8400 586660.34 423.2191 1222.87 -47.7885
57.4600 76.8600 587107.59 423.3564 1222.10 -47.7875
57.4600 76.8800 587514.03 423.4937 1226.00 -47.7713
57.4600 76.9000 587961.88 423.6311 1225.25 -47.7703
57.4600 76.9200 588410.03 423.7685 1224.49 -47.7692
57.4600 76.9400 588858.46 423.9060 1223.75 -47.7681
57.4600 76.9600 589266.02 424.0436 1227.69 -47.7519
57.4600 76.9800 589715.07 424.1813 1226.95 -47.7507
57.4600 77.0000 590164.41 424.3190 1226.22 -47.7496
57.4600 77.0200 590614.04 424.4567 1225.50 -47.7484
57.4600 77.0400 591022.72 424.5946 1229.47 -47.7321
57.4600 77.0600 591472.97 424.7325 1228.75 -47.7309
57.4600 77.0800 591923.50 424.8705 1228.05 -47.7296
57.4600 77.1000 592374.34 425.0085 1227.34 -47.7284
57.4600 77.1200 592784.14 425.1466 1231.35 -47.7120
57.4600 77.1400 593235.59 425.2848 1230.66 -47.7107
57.4600 77.1600 593687.33 425.4230 1229.97 -47.7094
57.4600 77.1800 594139.37 425.5613 1229.29 -47.7080
57.4600 77.2000 594550.30 425.6997 1233.33 -47.6916
57.4600 77.2200 595002.95 425.8381 1232.66 -47.6902
57.4600 77.2400 595455.90 425.9766 1232.00 -47.6888
57.4600 77.2600 595909.15 426.1152 1231.34 -47.6874
57.4600 77.2800 596362.70 426.2538 1230.69 -47.6860
57.4600 77.3000 596775.07 426.3925 1234.77 -47.6695
57.4600 77.3200 597229.24 426.5312 1234.13 -47.6680
57.4600 77.3400 597683.70 426.6701 1233.49 -47.6665
57.4600 77.3600 598138.46 426.8090 1232.87 -47.6649
57.4600 77.3800 598551.96 426.9479 1236.98 -47.6484
57.4600 77.4000 599007.34 427.0869 1236.36 -47.6468
57.4600 77.4200 599463.03 427.2260 1235.75 -47.6452
57.4600 77.4400 599919.01 427.3652 1235.14 -47.6436
57.4600 77.4600 600375.29 427.5044 1234.55 -47.6420
57.4600 77.4800 600790.24 427.6437 1238.70 -47.6254
57.4600 77.5000 601247.14 427.7831 1238.11 -47.6237
57.4600 77.5200 601704.35 427.9225 1237.53 -47.6220
57.4600 77.5400 602161.87 428.0620 1236.95 -47.6203
57.4600 77.5600 602619.68 428.2015 1236.39 -47.6186
57.4600 77.5800 603036.08 428.3411 1240.58 -47.6018
57.4600 77.6000 603494.51 428.4808 1240.02 -47.6001
57.4600 77.6200 603953.26 428.6206 1239.47 -47.5983
57.4600 77.6400 604412.31 428.7604 1238.92 -47.5965
57.4600 77.6600 604871.66 428.9003 1238.39 -47.5946
57.4600 77.6800 605289.51 429.0403 1242.62 -47.5778
57.4600 77.7000 605749.49 429.1803 1242.09 -47.5760
57.4600 77.7200 606209.77 429.3204 1241.57 -47.5741
57.4600 77.7400 606670.36 429.4606 1241.05 -47.5721
57.4600 77.7600 607131.26 429.6008 1240.55 -47.5702
57.4600 77.7800 607550.56 429.7411 1244.82 -47.5533
57.4600 77.8000 608012.09 429.8815 1244.33 -47.5513
57.4600 77.8200 608473.92 430.0219 1243.83 -47.5493
57.4600 77.8400 608936.07 430.1624 1243.35 -47.5473
57.4600 77.8600 609398.52 430.3029 1242.87 -47.5453
57.4600 77.8800 609819.27 430.4436 1247.19 -47.5283
57.4600 77.9000 610282.36 430.5843 1246.73 -47.5262
57.4600 77.9200 610745.75 430.7251 1246.27 -47.5241
