# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Air target launch data for BLUE_LR_SAM
#Generated on Mon Apr 19 14:34:08 2010
#ground_range altitude time_of_flight speed flight_path_angle
20.0000
 69703.55 50776.89 52.0000 1702.46 20.4115
 70494.81 51072.48 52.5000 1699.97 20.2618
 71285.64 51365.61 53.0000 1697.54 20.1157
 72076.04 51656.29 53.5000 1695.15 19.9693
 72866.04 51944.53 54.0000 1692.79 19.8226
 73655.65 52230.34 54.5000 1690.48 19.6755
 74444.88 52513.71 55.0000 1688.20 19.5280
 75233.73 52794.65 55.5000 1685.95 19.3803
 76022.22 53073.17 56.0000 1683.74 19.2322
 76810.36 53349.27 56.5000 1681.56 19.0837
 77598.16 53622.95 57.0000 1679.42 18.9349
 78385.64 53894.23 57.5000 1677.30 18.7858
 79172.79 54163.10 58.0000 1675.22 18.6364
 79959.63 54429.57 58.5000 1673.17 18.4867
 80746.17 54693.64 59.0000 1671.14 18.3366
 81532.41 54955.31 59.5000 1669.15 18.1862
 82318.37 55214.59 60.0000 1667.18 18.0355
 83104.05 55471.48 60.5000 1665.24 17.8845
 83889.46 55725.99 61.0000 1663.33 17.7332
 84674.61 55978.11 61.5000 1661.45 17.5816
 85459.50 56227.85 62.0000 1659.59 17.4297
 86244.14 56475.21 62.5000 1657.75 17.2775
 87028.53 56720.20 63.0000 1655.94 17.1250
 87812.69 56962.82 63.5000 1654.16 16.9721
 88596.62 57203.06 64.0000 1652.40 16.8190
 89380.33 57440.94 64.5000 1650.66 16.6657
 90163.81 57676.45 65.0000 1648.95 16.5120
 90947.08 57909.60 65.5000 1647.26 16.3580
 91730.14 58140.38 66.0000 1645.59 16.2038
 92513.00 58368.81 66.5000 1643.94 16.0493
 93295.66 58594.87 67.0000 1642.32 15.8945
 94078.12 58818.58 67.5000 1640.71 15.7394
 94860.40 59039.94 68.0000 1639.13 15.5840
 95642.49 59258.94 68.5000 1637.57 15.4284
 96424.40 59475.59 69.0000 1636.03 15.2725
 97206.14 59689.89 69.5000 1634.51 15.1164
 97987.70 59901.84 70.0000 1633.01 14.9600
 98769.10 60111.44 70.5000 1631.53 14.8033
 99550.33 60318.70 71.0000 1630.07 14.6464
 100331.40 60523.61 71.5000 1628.63 14.4892
 101112.31 60726.18 72.0000 1627.21 14.3318
 101893.07 60926.40 72.5000 1625.80 14.1741
 102673.67 61124.29 73.0000 1624.42 14.0162
 103454.13 61319.83 73.5000 1623.05 13.8580
 104234.45 61513.04 74.0000 1621.71 13.6996
 105014.63 61703.90 74.5000 1620.38 13.5410
 105794.67 61892.43 75.0000 1619.07 13.3821
 106574.57 62078.63 75.5000 1617.77 13.2229
 107354.34 62262.48 76.0000 1616.50 13.0636
 108133.98 62444.01 76.5000 1615.24 12.9040
 108913.50 62623.20 77.0000 1614.00 12.7442
 109692.89 62800.05 77.5000 1612.78 12.5841
 110472.15 62974.58 78.0000 1611.57 12.4239
 111251.30 63146.77 78.5000 1610.38 12.2634
 112030.34 63316.63 79.0000 1609.21 12.1027
