# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Air target launch data for BLUE_SR_SAM
#Generated on Wed Feb 03 16:41:21 2010
#ground_range altitude time_of_flight speed flight_path_angle
20.0000
 17275.28 2994.32 18.5000 994.17 6.4999
 17760.91 3048.48 19.0000 961.70 6.2182
 18231.22 3098.55 19.5000 931.42 5.9267
 18687.23 3144.71 20.0000 903.12 5.6254
 19129.84 3187.13 20.5000 876.59 5.3145
 19559.87 3225.95 21.0000 851.68 4.9940
 19978.08 3261.31 21.5000 828.23 4.6638
 20385.15 3293.33 22.0000 806.11 4.3241
 20781.68 3322.13 22.5000 785.22 3.9748
 21168.25 3347.80 23.0000 765.45 3.6161
 21545.37 3370.44 23.5000 746.71 3.2479
 21913.51 3390.13 24.0000 728.91 2.8703
 22273.12 3406.96 24.5000 712.00 2.4833
-1.00 -1.00 -1.0000 -1.00 -1.0000
22.4000
 6149.39 1344.55 10.0000 1278.33 10.1900
 6793.64 1459.16 10.5000 1339.46 9.9840
 7468.05 1576.70 11.0000 1399.26 9.7875
 8171.95 1696.96 11.5000 1457.61 9.5995
 8904.62 1819.70 12.0000 1514.44 9.4193
 9665.28 1944.73 12.5000 1569.65 9.2459
 10453.13 2071.83 13.0000 1623.20 9.0789
 11231.37 2195.08 13.5000 1531.51 8.9095
 11967.38 2309.34 14.0000 1450.46 8.7294
 12665.95 2415.47 14.5000 1378.25 8.5388
 13331.06 2514.20 15.0000 1313.48 8.3377
 13966.07 2606.12 15.5000 1255.01 8.1264
 14573.84 2691.76 16.0000 1201.94 7.9049
 15156.85 2771.56 16.5000 1153.54 7.6732
 15717.22 2845.91 17.0000 1109.20 7.4316
 16256.82 2915.13 17.5000 1068.41 7.1799
 16777.27 2979.53 18.0000 1030.74 6.9184
 17280.03 3039.37 18.5000 995.84 6.6470
 17766.35 3094.88 19.0000 963.39 6.3659
 18237.37 3146.26 19.5000 933.14 6.0750
 18694.11 3193.69 20.0000 904.85 5.7744
 19137.47 3237.35 20.5000 878.34 5.4642
 19568.27 3277.38 21.0000 853.44 5.1444
 19987.26 3313.91 21.5000 830.00 4.8150
 20395.12 3347.09 22.0000 807.89 4.4761
 20792.47 3377.00 22.5000 787.01 4.1278
 21179.86 3403.77 23.0000 767.25 3.7699
 21557.81 3427.48 23.5000 748.51 3.4027
 21926.80 3448.22 24.0000 730.72 3.0261
 22287.26 3466.08 24.5000 713.82 2.6401
-1.00 -1.00 -1.0000 -1.00 -1.0000
22.6000
 6149.22 1360.08 10.0000 1278.65 10.3301
 6793.35 1476.30 10.5000 1339.83 10.1242
 7467.66 1595.52 11.0000 1399.68 9.9278
 8171.49 1717.54 11.5000 1458.11 9.7400
 8904.12 1842.13 12.0000 1515.03 9.5599
 9664.79 1969.08 12.5000 1570.36 9.3867
 10452.71 2098.18 13.0000 1624.04 9.2199
 11231.08 2223.42 13.5000 1532.48 9.0506
